Number,Total_Total,Total_Males,Total_Females,Chinese_Total,Chinese_Males,Chinese_Females,Malays_Total,Malays_Males,Malays_Females,Indians_Total,Indians_Males,Indians_Females,Others_Total,Others_Males,Others_Females
Pang Sua,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Reservoir View,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Turf Club,670,330,340,570,290,290,-,-,-,80,40,40,20,10,10
Tampines - Total,259900,127000,132900,173660,84300,89360,56570,27940,28630,21700,11160,10550,7970,3610,4360
Simei,39450,19050,20400,28460,13610,14850,4530,2230,2310,4810,2450,2370,1640,770,880
Tampines East,130980,63960,67010,84190,40920,43280,32470,15960,16510,10320,5320,5000,3990,1770,2220
Tampines North,8040,3950,4090,5240,2570,2670,2200,1100,1100,400,200,190,210,80,130
Tampines West,79670,39150,40510,54290,26470,27820,17290,8630,8660,6050,3120,2930,2030,940,1100
Xilin,1760,890,880,1470,730,750,70,40,40,120,70,50,90,50,40
Tanglin - Total,21810,10100,11700,16270,7370,8900,240,100,140,2200,1080,1120,3090,1550,1540
Chatsworth,6890,3190,3690,4770,2160,2610,70,30,40,1020,500,520,1030,510,520
Nassim,9520,4410,5110,7460,3360,4100,110,50,60,710,370,350,1240,640,600
Ridout,1520,690,830,1090,500,600,10,-,-,160,70,80,270,120,150
Tyersall,3880,1810,2070,2960,1360,1600,60,20,30,320,150,170,550,280,270
Tengah - Total,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brickland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Forest Hill,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Garden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Plantation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tengah Industrial Estate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Toa Payoh - Total,121850,57890,63960,101320,47830,53490,8410,4160,4250,8590,4350,4240,3530,1550,1970
Bidadari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Boon Teck,14660,7210,7450,11280,5510,5770,2030,1020,1010,1020,540,480,340,150,200
Braddell,9810,4590,5210,7650,3530,4120,1130,560,570,690,340,350,330,160,170
Joo Seng,8150,4030,4120,7110,3510,3610,250,130,120,590,300,290,210,100,110
Kim Keat,7960,3840,4130,6470,3120,3350,540,260,280,780,380,400,180,80,110
Lorong 8 Toa Payoh,7160,3420,3730,5880,2820,3060,610,290,320,480,240,240,190,70,120
Pei Chun,10360,4940,5420,8620,4120,4500,820,380,450,610,320,290,310,120,180
Potong Pasir,11720,5660,6060,9750,4650,5100,520,270,260,1250,650,600,200,90,110
Sennett,7190,3480,3720,6510,3130,3380,120,60,70,380,200,180,190,90,90
Toa Payoh Central,28020,12960,15070,23620,10840,12780,1740,880,860,1780,850,930,870,380,490
Toa Payoh West,14360,6570,7780,12240,5540,6700,640,320,320,870,460,410,610,260,350
Woodleigh,2450,1200,1260,2190,1060,1120,10,10,10,140,70,70,110,50,60
Tuas - Total,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tengeh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tuas Bay,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tuas North,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tuas Promenade,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tuas View,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tuas View Extension,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Western Islands - Total,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jurong Island And Bukom,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Semakau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sudong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Western Water Catchment - Total,640,290,350,510,220,290,-,-,-,70,40,30,60,30,30
Bahar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cleantech,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Murai,640,290,350,510,220,290,-,-,-,70,40,30,60,30,30
Woodlands - Total,255130,127990,127150,155360,77720,77640,65480,32900,32580,28240,14610,13620,6060,2750,3310
Greenwood Park,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Midview,35270,17660,17610,20870,10400,10470,9910,4940,4970,3760,1990,1780,740,330,400
North Coast,12100,6130,5970,6840,3490,3350,3450,1720,1730,1600,820,770,220,100,120
Senoko West,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Woodgrove,33790,16870,16920,21440,10590,10840,7870,3980,3890,3660,1920,1740,830,380,450
Woodlands East,98980,49490,49500,60510,30190,30320,24560,12260,12290,11420,5880,5530,2500,1150,1350
Woodlands Regional Centre,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Woodlands South,41000,20540,20470,25940,12900,13040,9850,4990,4870,4130,2130,2000,1080,520,560
Woodlands West,33910,17260,16650,19730,10120,9600,9840,5010,4830,3660,1860,1800,680,270,420
Yishun - Total,221610,109470,112140,153160,75500,77660,40390,20140,20250,21950,11230,10720,6110,2600,3510
Khatib,10250,4980,5270,7540,3660,3880,1430,700,730,980,490,490,300,130,170
Lower Seletar,18660,9240,9420,12890,6370,6520,3780,1910,1870,1510,770,740,480,190,290
Nee Soon,890,440,450,780,380,400,20,10,10,60,30,30,30,20,10
Northland,28000,13930,14070,17750,8820,8940,6290,3130,3160,3000,1530,1470,970,460,510
Springleaf,4370,2180,2190,4010,2000,2010,40,20,20,220,110,100,110,50,60
Yishun Central,2620,1290,1340,2300,1130,1170,140,70,80,140,70,70,50,20,30
Yishun East,60670,30030,30640,40290,19960,20330,12670,6260,6410,6110,3160,2940,1600,650,950
Yishun South,42240,20670,21580,30680,15000,15680,6230,3100,3130,4230,2130,2090,1110,440,670
Yishun West,53910,26720,27190,36930,18190,18730,9800,4950,4850,5720,2940,2780,1460,640,830
